Activity,Year,Locality,Frequency,Percentage
Adult education courses,2010,Local,Participated in the last 12 months,7.29
Adult education courses,2010,Local,Weekly Participation (multiple),1.37
Adult education courses,2010,Local,Weekly Participation (once),0.87
Adult education courses,2010,Local,Monthly Participation (multiple),0.33
Adult education courses,2010,Local,Monthly Participation (once),0.58
Adult education courses,2011,Local,Participated in the last 12 months,7.45
Adult education courses,2011,Local,Weekly Participation (multiple),1.46
Adult education courses,2011,Local,Weekly Participation (once),0.84
Adult education courses,2011,Local,Monthly Participation (multiple),0.39
Adult education courses,2011,Local,Monthly Participation (once),0.50
Adult education courses,2012,Local,Participated in the last 12 months,6.12
Adult education courses,2012,Local,Weekly Participation (multiple),1.20
Adult education courses,2012,Local,Weekly Participation (once),0.72
Adult education courses,2012,Local,Monthly Participation (multiple),0.29
Adult education courses,2012,Local,Monthly Participation (once),0.35
Adult education courses,2013,Local,Participated in the last 12 months,6.20
Adult education courses,2013,Local,Weekly Participation (multiple),1.26
Adult education courses,2013,Local,Weekly Participation (once),0.67
Adult education courses,2013,Local,Monthly Participation (multiple),0.30
Adult education courses,2013,Local,Monthly Participation (once),0.46
Adult education courses,2014,Local,Participated in the last 12 months,7.70
Adult education courses,2014,Local,Weekly Participation (multiple),1.81
Adult education courses,2014,Local,Weekly Participation (once),0.78
Adult education courses,2014,Local,Monthly Participation (multiple),0.38
Adult education courses,2014,Local,Monthly Participation (once),0.64
Adult education courses,2015,Local,Participated in the last 12 months,7.61
Adult education courses,2015,Local,Weekly Participation (multiple),1.85
Adult education courses,2015,Local,Weekly Participation (once),0.87
Adult education courses,2015,Local,Monthly Participation (multiple),0.33
Adult education courses,2015,Local,Monthly Participation (once),0.53
Adult education courses,2016,Local,Participated in the last 12 months,7.55
Adult education courses,2016,Local,Weekly Participation (multiple),1.50
Adult education courses,2016,Local,Weekly Participation (once),0.76
Adult education courses,2016,Local,Monthly Participation (multiple),0.46
Adult education courses,2016,Local,Monthly Participation (once),0.55
Adult education courses,2017,Local,Participated in the last 12 months,8.06
Adult education courses,2017,Local,Weekly Participation (multiple),1.70
Adult education courses,2017,Local,Weekly Participation (once),0.90
Adult education courses,2017,Local,Monthly Participation (multiple),0.38
Adult education courses,2017,Local,Monthly Participation (once),0.68
Adult education courses,2018,Local,Participated in the last 12 months,7.35
Adult education courses,2018,Local,Weekly Participation (multiple),1.61
Adult education courses,2018,Local,Weekly Participation (once),0.75
Adult education courses,2018,Local,Monthly Participation (multiple),0.50
Adult education courses,2018,Local,Monthly Participation (once),0.66
Aquarium attendance,2010,Remote,Participated in the last 12 months,
Aquarium attendance,2010,Remote,Weekly Participation (multiple),
Aquarium attendance,2010,Remote,Weekly Participation (once),
Aquarium attendance,2010,Remote,Monthly Participation (multiple),
Aquarium attendance,2010,Remote,Monthly Participation (once),
Aquarium attendance,2011,Remote,Participated in the last 12 months,
Aquarium attendance,2011,Remote,Weekly Participation (multiple),
Aquarium attendance,2011,Remote,Weekly Participation (once),
Aquarium attendance,2011,Remote,Monthly Participation (multiple),
Aquarium attendance,2011,Remote,Monthly Participation (once),
Aquarium attendance,2012,Remote,Participated in the last 12 months,
Aquarium attendance,2012,Remote,Weekly Participation (multiple),
Aquarium attendance,2012,Remote,Weekly Participation (once),
Aquarium attendance,2012,Remote,Monthly Participation (multiple),
Aquarium attendance,2012,Remote,Monthly Participation (once),
Aquarium attendance,2013,Remote,Participated in the last 12 months,
Aquarium attendance,2013,Remote,Weekly Participation (multiple),
Aquarium attendance,2013,Remote,Weekly Participation (once),
Aquarium attendance,2013,Remote,Monthly Participation (multiple),
Aquarium attendance,2013,Remote,Monthly Participation (once),
Aquarium attendance,2014,Remote,Participated in the last 12 months,5.05
Aquarium attendance,2014,Remote,Weekly Participation (multiple),0.04
Aquarium attendance,2014,Remote,Weekly Participation (once),0.05
Aquarium attendance,2014,Remote,Monthly Participation (multiple),0.08
Aquarium attendance,2014,Remote,Monthly Participation (once),0.21
Aquarium attendance,2015,Remote,Participated in the last 12 months,5.92
Aquarium attendance,2015,Remote,Weekly Participation (multiple),0.12
Aquarium attendance,2015,Remote,Weekly Participation (once),0.02
Aquarium attendance,2015,Remote,Monthly Participation (multiple),0.09
Aquarium attendance,2015,Remote,Monthly Participation (once),0.14
Aquarium attendance,2016,Remote,Participated in the last 12 months,4.94
Aquarium attendance,2016,Remote,Weekly Participation (multiple),0.09
